id,section,difficulty,question_no,type,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,answer,source_answer,validation_note,validation_source,source_file
S073Q07,73,medium,7,SE,"The sociologist argued that criminal behavior is an impermanent condition because it is the result of cyclical forces operating through _____ factors, not the manifestation of deeply rooted personal characteristics.",contingent,alarming,circumstantial,proliferating,unsustainable,intensifying,,,,A|C,A|C,,,TCSE_51-100.pdf
S073Q08,73,medium,8,SE,"British critics covering African American musicians performing in London in the 1910s had little idea how to distinguish what was authentic African American music from what was _____, but they knew such a distinction existed.",eclectic,genuine,derivative,spurious,legitimate,specious,,,,D|F,D|F,,,TCSE_51-100.pdf
S073Q09,73,medium,9,SE,"Any antimatter in our part of the universe is necessarily _____ because of the overwhelming preponderance of ordinary matter, by which antimatter is quickly annihilated.",short-lived,nebulous,scarce,concrete,substantial,ephemeral,,,,A|F,A|F,,,TCSE_51-100.pdf
S073Q10,73,medium,10,SE,"There are great _____ in countries’ greenhouse gas emissions, especially in per capita terms: while the United States and China are similar in aggregate emissions, United States per capita emissions are a huge multiple of China’s.",distortions,disparities,fluctuations,advances,variances,vacillations,,,,B|E,B|E,,,TCSE_51-100.pdf
S074Q01,74,medium,1,TC1,"Many legislators who helped Roosevelt shape the New Deal _____ the fact that emerging social problems affected every segment of the population; nonetheless, they often acted with a view to aiding only their own constituents.",disregarded,bemoaned,ignored,disputed,downplayed,,,,,B,B,,,TCSE_51-100.pdf
S074Q02,74,medium,2,TC1,"One thing both authors have in common is a striking amount of _____: they claim to know how massive institutions, some of them richly endowed, all of them central to American society and culture, should be reshaped.",hubris,propriety,bias,prescience,indolence,,,,,A,A,,,TCSE_51-100.pdf
S074Q03,74,medium,3,TC2,"The novel’s heroine shows a remarkable (i)_____ to worship at the altar of youth; in her world, youth is (ii)_____, while age, by contrast, confers competence and wisdom.",disinclination,desire,tendency,incredulous,sagacious,callow,,,,A|F,A|F,,,TCSE_51-100.pdf
S074Q04,74,medium,4,TC2,"The humor in this play derives from its (i)_____. The new production, however, inexplicably goes in the opposite direction; it is so (ii)_____ that the audience does not even seem to realize that the play is supposed to be a comedy.",verbal nimbleness,political allusions,deadpan dialogue,accessible,plodding,implausible,,,,A|E,A|E,,,TCSE_51-100.pdf
S074Q05,74,medium,5,TC2,"Recently released statistics on the prevalence of heart disease in the United States, while (i)_____, nevertheless reflect a decline from heights reached in the 1960s, before health officials began publicly (ii)_____ people to guard against heart disease.",definitive,sobering,implausible,entreating,defying,absolving,,,,B|D,B|D,,,TCSE_51-100.pdf
S074Q06,74,medium,6,TC3,"Cultures can shape attitudes and beliefs in ways that (i)_____ conscious awareness or control; in other words, cultural orientations may develop form processes that do not entail (ii)_____ participation, and cultures may pervade subtle psychological dynamics in ways that individuals may not be able to (iii)_____. Thus, theories and tools developed to study implicit cognition may increase our understanding of the complex interplay between culture and individuals.",operate outside of,tend to facilitate,may not alter,active,random,rote,report,maintain,condone,A|D|G,A|D|G,,,TCSE_51-100.pdf
S074Q07,74,medium,7,SE,"Although people often describe the correct trajectory for a thrown or moving object, their efforts to explain that trajectory in terms of physics can reveal _____ understanding of the forces acting on the object.",a naïve,a subtle,a fallacious,an unsophisticated,a nuanced,a fresh,,,,A|D,A|D,,,TCSE_51-100.pdf
S074Q08,74,medium,8,SE,"Appearing in the midst of so many equivocal comments, this unambiguous statement, whatever its intrinsic merit, plainly stands out as _____.",anomalous,arcane,irrelevant,superfluous,unusual,esoteric,,,,A|E,A|E,,,TCSE_51-100.pdf
S074Q09,74,medium,9,SE,"For decades, Pluto seemed to be the mysteriously _____ planet: it was first thought to be about as large as Earth, but, subsequently, measurements had it smaller and smaller.",morphing,appearing,dwindling,orbiting,contracting,emerging,,,,C|E,C|E,,,TCSE_51-100.pdf
S074Q10,74,medium,10,SE,"Science is arguably a very high-minded pursuit, but that is not to say that all of its practitioners are _____, as numerous articles alleging overly generous pharmaceutical industry payments to medical researchers have tried to show.",conventional,clever,unimpeachable,ingenious,blameless,predictable,,,,C|E,C|E,,,TCSE_51-100.pdf
S075Q01,75,medium,1,TC1,"Since the deficit predicament is fundamentally a long-term problem, the legislature’s _____ short- term approaches has actually compounded the difficulty in each succeeding year, eroding the state credit rating in the process.",vexation regarding,skepticism about,addiction to,wariness of,demonization of,,,,,C,C,,,TCSE_51-100.pdf
S075Q02,75,medium,2,TC1,"His _____ speaking style notwithstanding, William Perkins has long been seen as the moderate face of his political party.",genteel,mundane,affable,captivating,vehement,,,,,E,E,,,TCSE_51-100.pdf
S075Q03,75,medium,3,TC2,"I knew well, from experience with hundreds of hired crew members on her boats, how (i)_____ attitudes can be: how one negative influence can impel an otherwise (ii)_____ member of a crew to quit.",insipid,infectious,innocuous,untested,captious,contented,,,,B|F,B|F,,,TCSE_51-100.pdf
S075Q04,75,medium,4,TC2,"The question whether children like sweetener or not is (i)_____. Of course children like sweetener, which is (ii)_____ to sellers, since children’s taste will not change once they are used to a certain brand.",debated,decided,overlooked,a pragmatic solution,a commercial advantage,an idealistic conception,,,,B|E,B|E,,,TCSE_51-100.pdf
S075Q05,75,medium,5,TC2,"The new drug was useful, but unfortunately its effect was largely (i)_____ rather than (ii)_____.",placatory,palliative,addictive,immediate,curative,mollifying,,,,B|E,B|E,,,TCSE_51-100.pdf
S075Q06,75,medium,6,TC3,"In adolescence, (i)_____ interactions are crucial in forging a self-identity. To be sure, this process often plays out in (ii)_____ as a means of defining and shoring up the sense of self. Kids will seek out like-minded companions, and spurn others who seem different. But when kept within reasonable bounds, this in-group (iii)_____ generally evolves into a more mature friendship pattern.",adult,wide-ranging,peer,cliquish social behavior,dramatic changes in,heightened sociability,alienation,clustering personality,competition,C|D|H,C|D|H,,,TCSE_51-100.pdf
S075Q07,75,medium,7,SE,"Experiments show that it is shockingly easy to elicit a sense of _____ among a group of strangers: just tell them they’ll be working as a team, and they immediately start working as a team.",dominance,hierarchy,obedience,solidarity,camaraderie,optimism,,,,D|E,D|E,,,TCSE_51-100.pdf
S075Q08,75,medium,8,SE,"Typefaces, in one sense, are just like styles of shoes: they _____ because different people have different tastes and identities and because both creators and users value novelty for its own sake.",bemuse,converge,proliferate,abound,evolve,coincide,,,,C|D,C|D,,,TCSE_51-100.pdf
S075Q09,75,medium,9,SE,"It’s a sign of John Dramani Mahama’s maturity as a writer that he is willing to consider his country’s future so _____: his memoir is appealingly honest, given to clear-eyed assessments rather than exaggerated accounts of achievements.",cheerfully,dispassionately,insightfully,evocatively,analytically,blithely,,,,B|E,B|E,,,TCSE_51-100.pdf
S075Q10,75,medium,10,SE,"The action in Zadie Smith’s novel On Beauty is mediated by an unabashedly _____ narrator who does not hesitate to inform us, as once upon a time the narrators of novels were wont to do, how we behave in general and how society usually works.",knowing,obtrusive,conspicuous,antiquated,mysterious,secretive,,,,B|C,B|C,,,TCSE_51-100.pdf
S076Q01,76,medium,1,TC1,"Like her literary heroine, George Eliot, Barbara Kingsolvers is an old-fashioned _____, deeply curious about all branches of human learning.",prodigy,polymath,tyro,ante,philistine,,,,,B,B,,,TCSE_51-100.pdf
S076Q02,76,medium,2,TC1,"Physicists’ opinions diverge on whether the unexpected phenomena that can occur in systems more complex than individual particles represent new physical principles, or whether the principles involved are _____, in that they rely, albeit in an extremely complicated way, on known physical principles.",extraneous,inexpressible,derivative,heterogeneous,uncorrelated,,,,,C,C,,,TCSE_51-100.pdf
S076Q03,76,medium,3,TC2,"In reviewing cases decided by lower courts, Supreme Court justices search for precedents to justify their arguments. Reliance on precedent (i)_____ judicial restraint: the precedent (ii)_____ a judge’s ability to determine the outcome of a case in a way that he or she might choose if there were no precedent.",promotes,compromises,promulgates,establishes,constrains,prioritizes,,,,A|E,A|E,,,TCSE_51-100.pdf
S076Q04,76,medium,4,TC2,"To abolish the existence of nation-states is neither feasible nor desirable; but insofar as there are collective interests that transcend national boundaries, the (i)_____ of nation-states must be (ii)_____ to international institutions.",sovereignty,traditions,genealogy,subordinated,attributable,analogous,,,,A|D,A|D,,,TCSE_51-100.pdf
S076Q05,76,medium,5,TC2,"World demand for oil had been intensified, but it slackened because China’s surge in oil consumption had (i)_____. Moreover, high oil price had themselves started to act as a short-term (ii)_____ the global economy, thus further dampening demand.",spread,commenced,slowed,spur to,drag on,panacea for,,,,C|E,C|E,,,TCSE_51-100.pdf
S076Q06,76,medium,6,TC3,Most capuchin monkey conflict involves such a (i)______ repertoire of gestural and vocal signals that it is difficult for researchers to tease apart the meanings of the individual signals. This (ii)______ is (iii)______ by the fact that many signals seem to shift in meaning according to the context in which they are produced and the developmental stage of the individuals producing them.,precise,rich,straightforward,problem,opportunity,oversight,augmented,ameliorated,anticipated,B|D|G,B|D|G,,,TCSE_51-100.pdf
S076Q07,76,medium,7,SE,"Since the data we have analyzed are so _____, it would be hazardous to draw a definite conclusion.",copious,overwhelming,abundant,meager,paltry,uncertain,,,,D|E,D|E,,,TCSE_51-100.pdf
S076Q08,76,medium,8,SE,The phrase “bread and circuses” refers to early Roman politicians’ plans to _____ the votes of the poor by handing out cheap food and entertainment.,belie,surmount,secure,control,cherish,earn,,,,C|F,C|F,,,TCSE_51-100.pdf
S076Q09,76,medium,9,SE,"They applaud the musicals of the 1930s and 1940s, whose plethora of stars, jokes, dances witty dialogue, and general gaiety make today’s offering seem _____ by comparison.",cheerless,vacuous,mirthful,insincere,gloomy,jovial,,,,A|E,A|E,,,TCSE_51-100.pdf
S076Q10,76,medium,10,SE,"It may not seem like a big deal for produce distributors to mix together soybeans from different farms, but a growing number of buyers are willing to pay a premium for soybeans the _____ of which is know: they like to know exactly where their food came from.",purity,output,heterogeneity,origin,yield,provenance,,,,D|F,D|F,,,TCSE_51-100.pdf
S077Q01,77,medium,1,TC1,"In an ironic twist, the recent _____ of the reductive observational methods that have enabled science to progress for four centuries may turn out to be science’s biggest step forward.",introduction,validation,acceptance,standardization,questioning,,,,,E,E,,,TCSE_51-100.pdf
S077Q02,77,medium,2,TC1,"Even though the municipal government was not totally _____ the positive review of the charter, the mayor nevertheless decided to veto the laws.",garrulous about,enthusiastic about,sanguine about,approbatory to,unsympathetic with,,,,,E,E,,,TCSE_51-100.pdf
S077Q03,77,medium,3,TC2,"The virtual absence of cougars from late prehistoric faunas in the North American Great Basin (i)_____ a general scarcity of carnivores from these sites: bobcats, coyotes, and badgers are routinely found, and even such historically (ii)_____ carnivores as bears and wolves are found as well.",largely parallels,does not reflect,is a consequence of,widespread,rare,representative,,,,B|E,B|E,,,TCSE_51-100.pdf
S077Q04,77,medium,4,TC2,"Interest in creating handheld computers is fueled by the desire to shrink the size of the electronic circuitry and to create exceptionally small mechanical systems. At this scale, however, physical (i)_____ poses unique challenges. Machining, positioning, and assembling parts by hand are easy at macroscopic scales but at minute scales they are far from (ii)_____.",deterioration,manipulation,durability,subtle,inflexible,routine,,,,B|F,B|F,,,TCSE_51-100.pdf
S077Q05,77,medium,5,TC2,"The introductions to each section, written by the editors of the anthology, provide useful background material, but they do not provide analysis of the articles. Because the articles are in many senses the editors’ personal favorites, it is probably (i)_____ to expect more such criticism would be as (ii)_____ as the articles themselves.",juvenile,paradoxical,unrealistic,biased,complex,informative,,,,C|F,C|F,,,TCSE_51-100.pdf
S077Q06,77,medium,6,TC3,"Given children’s active fantasy lives, one might think of truthfulness as (i)_____ virtue in young children, but it turns out that lying is the more (ii)_____ skill. A child who is going to lie must recognize the truth, intellectually conceive of an alternate reality, and be able to convincingly sell that new reality to someone else. Therefore, lying (iii)_____ cognitive development and social skills in a way that honesty simply does not.",an instinctive,an acquired,a conscious,advanced,practical,mundane,undermines,forgoes,demands,B|D|I,B|D|I,,,TCSE_51-100.pdf
S077Q07,77,medium,7,SE,"The book reaffirms the idea that Africans on the continent have not stopped ______ or responding to their own creations; in fact, African creative agents have ushered in their own modern forms rooted in traditional ideas.",exposing,detecting,absorbing,noticing,generating,originating,,,,E|F,E|F,,,TCSE_51-100.pdf
S077Q08,77,medium,8,SE,"Flash floods are common in desert regions and were widespread before the evolution of trees and woodland soils; in contrast, flash floods are ______ in woodlands, where floodwaters, impeded by trees, form ponds.",overshadowed,redirected,obscured,precluded,mitigated,abated,,,,E|F,E|F,,,TCSE_51-100.pdf
S077Q09,77,medium,9,SE,"A formal floods resulting from usual monsoon rainfall are _____ the growth of plants, recently there has been an increase in the frequency of highly intensified floods that do not have such welcome effects.",conducive to,hindered by,devastating for,deleterious to,essential for,indispensable to,,,,E|F,E|F,,,TCSE_51-100.pdf
S077Q10,77,medium,10,SE,"Those who read Empson’s correspondence for the first time may be disappointed that so much of it is professional rather than personal, but the distinction in this case is _____: every letter bears the full stamp of Empson’s personality.",unambiguous,artificial,significant,spurious,clear-cut,unique,,,,B|D,B|D,,,TCSE_51-100.pdf
S078Q01,78,medium,1,TC1,"By deliberately dripping paint on their canvases, expressionists affirmed that paint is not _____ entity, something merely to be moved where the artist please, but rather a material possessing a fluid energy that the painter attempts to control.",an immutable,an expressive,a vital,a passive,a kinetic,,,,,D,D,,,TCSE_51-100.pdf
S078Q02,78,medium,2,TC1,"It is often argued that psychoanalysis, which was _____ at that stage of the eighteenth century, provided the main filter by which death could be looked at, but it has now been largely replaced by medicine, which provides both a mindset and practical measures by which death may be cheated, and in terminal illness, approached, formulating a process called medicalization.",predominant,pompous,precarious,elegant,mundane,,,,,A,A,,,TCSE_51-100.pdf
S078Q03,78,medium,3,TC2,"Reviews written by music critic and composer Stephenson were hardly (i)_____ : musicians who performed his music could count on sympathetic coverage, while those who ignored him were held to (ii)_____ standards.",disinterested,lucid,conventional,exacting,minimal,accepted,,,,A|D,A|D,,,TCSE_51-100.pdf
S078Q04,78,medium,4,TC2,"The laser has been widely utilized in many industries such as the packaging industry, CD player manufacturing, and all sorts of commonplace articles; however, the (i)_____ of the laser doesn’t mean the laser can only be used in (ii)_____ ways.",rare extermination,sporadic usage,everyday presence,assorted,pedestrian,pointless,,,,C|E,C|E,,,TCSE_51-100.pdf
S078Q05,78,medium,5,TC2,"The strategists who created the European Unions practiced piecemeal social engineering. Recognizing that perfection is (i)_____, they set limited objectives and then mobilize the political will for a small step forward knowing full well that when they achieved it, its (ii)_____ would become apparent and necessitate further measures.",unattainable,salubrious,bromidic,potential,inadequacy,mutability,,,,A|E,A|E,,,TCSE_51-100.pdf
S078Q06,78,medium,6,TC3,"laws protecting intellectual property are intended to stimulate creativity, yet some forms of creative work have never enjoyed legal protection—a situation that ought to be of great interest. If we see certain forms of creative endeavor (i)_____ as a result of uncontrolled copying, we might decide to (ii)_____ intellectual property law. Conversely, if unprotected creative work (iii)_____ in the absence of legal rules against copying, we would do well to know how such flourishing is sustained.",languishing,proliferating,diversifying,jettison,extend,relax,declines in originality,manages to thrive,openly invites imitation,A|E|H,A|E|H,,,TCSE_51-100.pdf
S078Q07,78,medium,7,SE,Analysis for the structural feather that were thought to _____ kinship between the two species prompted an investigation that dispelled that presumption and revealed that the two share a family history.,signify,underrate,point to,preclude,rule out,exaggerate,,,,D|E,D|E,,,TCSE_51-100.pdf
S078Q08,78,medium,8,SE,The book captures the _____ of several politicians who spoke publicly of old-time virtues in order to mask private vices.,probity,dissemblance,opportunism,rectitude,ingenuousness,duplicity,,,,B|F,B|F,,,TCSE_51-100.pdf
S078Q09,78,medium,9,SE,"Baker was struck by the amount of _____ she saw at the renowned medical facility; for all their experience, the physicians could not seem to agree on the correct diagnosis for any given patient.",discordance,contention,quackery,nepotism,indecision,cronyism,,,,A|B,A|B,,,TCSE_51-100.pdf
S078Q10,78,medium,10,SE,"There are great _____ in countries’ greenhouse gas emissions, especially in per capita terms: while the United States and China are similar in aggregate emissions, United States per capita emissions are a huge multiple of China’s.",distortions,disparities,fluctuations,advances,variances,vacillations,,,,B|E,B|E,,,TCSE_51-100.pdf
S079Q01,79,hard,1,TC1,"She demonstrates a great extent of _____, as she has traveled to many more countries and places around the world than any of her kindred.",perfidiousness,peregrination,jubilation,sagaciousness,conspicuousness,,,,,B,B,,,TCSE_51-100.pdf
S079Q02,79,hard,2,TC1,People who are reluctant to oppose a court nominee straightforwardly on ideological grounds often search for any sort of peccadillo to serve as a _____ their opposition.,mitigation of,violation of,predictor of,reparation for,pretext for,,,,,E,E,,,TCSE_51-100.pdf
S079Q03,79,hard,3,TC2,"Britain’s Queen Victoria, however (i)_____ she had been at the beginning of her reign, was politically much more (ii)_____ by the end of her time on the throne, as she resigned herself to the emergence of an increasing powerful electorate that prevented her from stubbornly insisting on getting her own way in matters of state.",naïve,personable,obdurate,powerful,arbitrary,malleable,,,,C|F,C|F,,,TCSE_51-100.pdf
S079Q04,79,hard,4,TC2,"Earlier discussions with neighboring countries (i)_____ due to the government’s failure to alter policies that those countries find objectionable. Moreover, there is every reason to (ii)_____ the success of further talks, since the government if anything different, more intransigent.",commenced,advanced,foundered,doubt,undermine,anticipate,,,,C|D,C|D,,,TCSE_51-100.pdf
S079Q05,79,hard,5,TC3,"To get funding and tenured positions, medical researchers have to get their work published in well-regarded journals, where rejection can climb above 90 percent. Not surprisingly, the studies that tend to make the grade are those that make (i)_____ claims. But while coming up with such (ii)_____ claims is relatively easy, getting the data to bear them out is another matter. When studied rigorously, the great majority of these claims (iii)_____.",well-supported,eye-catching,small-scale,practical,orthodox,striking,yield contradictory evidence,require extensive analysis,support conventional beliefs,B|F|G,B|F|G,,,TCSE_51-100.pdf
S079Q06,79,hard,6,TC3,"As the study of the foundation of western Shanghai reveals, there was a sense of elegance in the refined, simple lines that characterized the entire row, bereft of the exuberant, emphatic, assertive, ornament that constituted the latest British architectural fashion, which expressed its detestation of Plalladianism and neoclassicism—London’s Regent Street then being regarded as abhorrent—calling it the product of a (i)_____ “shopocracy”. The (ii)_____ of Western architectural taste—oscillating between simplicity and ornamental (iii)_____—must have bemused Chinese observers who had long accepted that both approaches were valid and could co-exist.",superficial,quintessential,disdained,impermanence,eternality,subtlety,profundity,modesty,exuberance,C|D|I,C|D|I,,,TCSE_51-100.pdf
S079Q07,79,hard,7,SE,"Church, Nussbaum, Waldman, and Wills have written very different books—Nassbaum and Wills range both farther and deeper—but each one of the four strives for _____, wanting to save us from the errors of partisans and zealots.",concision,evenhandedness,frankness,trustworthiness,succinctness,impartiality,,,,B|F,B|F,,,TCSE_51-100.pdf
S079Q08,79,hard,8,SE,"Given that the department director was such a feeble contributor, sitting silently at important policy meetings and usually deferring to low-level aides, it was surprising that he had such a reputation for _____.",magnanimity,perspicacity,impartiality,detachment,benevolence,discernment,,,,B|F,B|F,,,TCSE_51-100.pdf
S079Q09,79,hard,9,SE,"Between the late 1800s and early 1900s, various institutional structures emerged that set researchers in scientific fields apart as a professional class and moderated disputes by _____ some kinds of knowledge as real science.",differing,sanctioning,mischaracterizing,censuring,reprehending,endorsing,,,,B|F,B|F,,,TCSE_51-100.pdf
S079Q10,79,hard,10,SE,"In Ramachandran’s opinion, it is perfectly acceptable to propose bold speculations about the brain, even if these speculations seem _____; as Ramachandran frequently remarks, science thrives on risky conjecture.",unfounded,premature,controversial,verifiable,testable,baseless,,,,A|F,A|F,,,TCSE_51-100.pdf
S080Q01,80,hard,1,TC1,"Although Emily Bronte is impassioned about gender equality, she is anything but ___ to endorse more privileges endowed to women.",zealous,apathetic,abhorrent,stubborn,lethargic,,,,,A,A,,,TCSE_51-100.pdf
S080Q02,80,hard,2,TC1,"Many creative photographers were delighted to find in instant photography a mode that encouraged them to stop viewing photography as _____ and start viewing it as something they could handle with spontaneity, even derision.",sacrosanct,ephemeral,malleable,egalitarian,autonomous,,,,,A,A,,,TCSE_51-100.pdf
S080Q03,80,hard,3,TC2,"As cheaper imports drove most California potteries out of business during the 1950s, one company (i)_____. The substantial size and weight of the specialized products produced by Architectural Pottery helped (ii)_____ the company, because it was uneconomical for foreign companies to ship similarly large objects to California.",stagnated,diversified,flourished,transform,insulate,finance,,,,C|E,C|E,,,TCSE_51-100.pdf
S080Q04,80,hard,4,TC2,"Each new generation of students grow up (i)_____ the world of classical physics, with its mostly intuitive, billiard-ball causality; that is the everyday vantage from which we approach the alien world of quantum physics, which has for this reason never lost its air of (ii)_____.",immersed in,disdainful of,unmoved by,verisimilitude,objectivity,radicalism,,,,A|F,A|F,,,TCSE_51-100.pdf
S080Q05,80,hard,5,TC3,"During the Harlem Renaissance, Alain Locke (i)_____ the first flourishing of a self-consciously racial art movement in America and was widely credited with providing the philosophical basis for its emergence. His importance as a critic of African America art and as an art theorist is (ii)_____ if controversial, yet he has received (iii)_____ attention for his unique insight into the broad forces that shaped American modernism and cultural nationalism in the visual arts.",forestalled,presided over,seethed over,undisputed,misleading,questionable,undeserved,meticulous,insufficient,B|D|I,B|D|I,,,TCSE_51-100.pdf
S080Q06,80,hard,6,TC3,"Vaccine denial has all the hallmarks of a belief system that is not (i)_____. The notion that childhood vaccines are driving autism rates has been (ii)_____ by multiple epidemiological studies. Yet the true believers are (iii)_____, critiquing each new study that challenges their views, and rallying to the defense of disgraced researchers whose work was retracted.",amenable to refutation,susceptible to fashion,open to criticism,resuscitated,documented,upended,indignant,persistent,phlegmatic,A|F|H,A|F|H,,,TCSE_51-100.pdf
S080Q07,80,hard,7,SE,"Price knew about how to do people favors, sometimes just from kindness, but often out of _____.",self-interest,benevolence,magnanimity,opportunism,disinterest,mercy,,,,A|D,A|D,,,TCSE_51-100.pdf
S080Q08,80,hard,8,SE,"Caricature can be revealing as well as amusing, and Ager’s novel is both: Ager’s delineation of class, ethnic, and generational struggle is exaggerated for comical effect, but it _____ nonetheless.",resonates,entertains,diverts,confuses,rings true,falls short,,,,A|E,A|E,,,TCSE_51-100.pdf
S080Q09,80,hard,9,SE,"Although the claim that no one knows what dark matter is remains _____, some scientists dispute the parallel assertion that dark matter has not been detected.",contentious,sound,questionable,unassailable,unverifiable,prominent,,,,B|D,B|D,,,TCSE_51-100.pdf
S080Q10,80,hard,10,SE,Benjamin Franklin’s reputation is so much one of appearing scientific investigation with commonsense empiricism that it is somewhat startling to realize how _____ the great experiment’s mentoring truly was.,reasonable,speculative,pragmatic,conjectural,careless,judicious,,,,B|D,B|D,,,TCSE_51-100.pdf
S081Q01,81,hard,1,TC1,"The chairman, faced with the need to forge a consensus on a number of proposals, acknowledged that it would be difficult to reconcile the push for a radical overhaul with the stance of those who want _____ change.",deliberate,indiscriminate,genuine,immediate,wholesale,,,,,A,A,,,TCSE_51-100.pdf
S081Q02,81,hard,2,TC1,The stars’ attitudes toward their glowing press are diametrically opposed: some think it _____ and others take the adulation seriously.,flummery,consequential,fanatical,coincidental,sincere,,,,,A,A,,,TCSE_51-100.pdf
S081Q03,81,hard,3,TC2,"Up to the 1970s, histories of science tended to be (i)_____ not least in their focus on discoveries and theories that could be read as anticipating later scientific orthodoxies, rather than on those deemed (ii)_____ in their own periods. Historians of science are now routinely far more sensitive on such scores.",anachronistic,convoluted,undogmatic,major,fallacious,inessential,,,,A|D,A|D,,,TCSE_51-100.pdf
S081Q04,81,hard,4,TC2,"The students seeking undergraduate representation on the board of trustees viewed the impasse in their negotiations with the administration as (i)_____, since it promised to (ii)_____ the administration’s belief that students should take no part in running the university.",unfortunate,inevitable,unprecedented,undermine,fuel,distort,,,,A|E,A|E,,,TCSE_51-100.pdf
S081Q05,81,hard,5,TC3,"The perennial problem for critics of nineteenth-century novelist Charlotte Yonge is the relationship of her realism to her (i)_____. While admiring her complex psychological portraits and detailed descriptions of quotidian family life, readers since her own time have tended to fault her improbable manipulation of plot to teach a moral lesson. Indeed, many critics (ii)_____ her because of her willingness to (iii)_____.",pessimism,didacticism,eclecticism,dismiss,applaud,underestimate,squander suspense,sacrifice credibility,deflate pretension,B|D|H,B|D|H,,,TCSE_51-100.pdf
S081Q06,81,hard,6,TC3,"Filler claims that after the social welfare programs of the 1960s, belief that the government has an obligation to provide decent housing for citizens who cannot afford it was (i)_____ in the United States by the notion that providing suitable shelter for everyone should be (ii)_____. Thus today in the (iii)_____ of taxpayer-sponsored initiatives we have volunteer home-construction programs, honorable in intent but pitifully limited in scope.",supplanted,promulgated,corroborated,a shared civic responsibility,an act of private charity,a profit-oriented enterprise,absence,name,mold,A|E|G,A|E|G,,,TCSE_51-100.pdf
S081Q07,81,hard,7,SE,"In its few decades of existence, the field of technology assessment has undergone large changes: its original high ambitions to predict consequences of technology have been _____ if not discarded.",deferred,subverted,abandoned,relinquished,tempered,modulated,,,,E|F,E|F,,,TCSE_51-100.pdf
S081Q08,81,hard,8,SE,"Individuals interested in longevity have sought to fine-tune their bodies with all kinds of _____ diets: only raw foods; only plant; only the flesh, fruit, and nuts that prehistoric humans would have hunted and foraged.",eccentric,meager,salutary,proscriptive,trendy,exacting,,,,D|F,D|F,,,TCSE_51-100.pdf
S081Q09,81,hard,9,SE,"The baseball players performance during last nights game was impressive, although not _____; others have performed similar feats.",decisive,unexampled,significant,novel,outstanding,spectacular,,,,B|D,B|D,,,TCSE_51-100.pdf
S081Q10,81,hard,10,SE,"The laboratory maze has grown ever less _____ since it was first invented instead of hoping to lose a rodent in a labyrinth; today’s scientists design mazes to elicit a few simple, easily measured behaviors.",intricate,extensive,effective,convoluted,useful,prevalent,,,,A|D,A|D,,,TCSE_51-100.pdf
S082Q01,82,hard,1,TC1,"Studies of hermaphroditic plants may exhibit sampling bias against self-fertilizing and cross- fertilizing species, thus inflating the frequency of species using a mixed mating system (both self- fertilizing and cross-fertilizing); nevertheless the number of mixed-system species is not _____.",self-evident,static,trivial,relevant,calculable,,,,,C,C,,,TCSE_51-100.pdf
S082Q02,82,hard,2,TC1,"A curiosity of the film Vertigo is its capacity to generate emotional power from a plot that lacks the most of elementary _____: viewers are required to accept not an isolated implausibility, but a continuous stream of them.",believability,impact,narrative,tension,premise,,,,,A,A,,,TCSE_51-100.pdf
S082Q03,82,hard,3,TC2,"It was fine to be (i)_____ in the old days when papers were still not losing readers and ad revenue was not tough to come by, but many editors today are uneasy about bludgeoning their readers with the inherently (ii)_____ work of cartoonists.",comprehensive,opinionated,profligate,unbalanced,flawed,vacuous,,,,B|D,B|D,,,TCSE_51-100.pdf
S082Q04,82,hard,4,TC2,"Some academic criticism of popular novels has been (i)_____ in character, being based on the assumption that the wider the appeal, the more (ii)_____ the novel.",rigorous,exculpatory,elitist,undesirable,accomplished,comprehensible,,,,C|D,C|D,,,TCSE_51-100.pdf
S082Q05,82,hard,5,TC3,"The order applies to all Federal agency whose actions may affect the status of invasive species and requires agencies to identify such actions and to the extent practicable and permitted by law, and since invasive species severely reduce the number of native species and even (i)_____ their existence, the agency has determined and made public its determination that the benefits of such actions clearly outweigh the potential harm caused by invasive species; and that all feasible and (ii)_____ measures to (iii)_____ risk of harm of the introduction of invasive species will be taken in conjunction with the actions.",escalate,preclude,diminish,prudent,mawkish,braggart,remedy,counterbalance,minimize,B|D|I,B|D|I,,,TCSE_51-100.pdf
S082Q06,82,hard,6,TC3,"Conventionally, the ultimate measure of a scientific work’s validity is how broadly and confidently its conclusions become accepted in the relevant field, which in turn (i)_____ the extent to which its findings are replicated and extended. However, establishing such validity, especially for a novel experimental finding, can take years, and what (ii)_____ replication or extension may be (iii)_____ for some time.",derives from,works against,leads to,justifies,impugns,constitutes,evident,disputed,touted,A|F|H,A|F|H,,,TCSE_51-100.pdf
S082Q07,82,hard,7,SE,"While the group's street protests assumed an assertory uncompromising tenor, once admitted to the halls of power to begin formal lobbying, the group's leadership wisely chose to _____ the stridency of their rhetoric.",metamorphose,gild,wane,palliate,succor,damp,,,,D|F,D|F,,,TCSE_51-100.pdf
S082Q08,82,hard,8,SE,"His own writing style was _____: colorful and tart in its choice of language, willing to run risks in its allusions, metaphors, and verbal juxtapositions, prone to irreverent conclusions designed to surprise or startle.",effusive,audacious,lyrical,striking,ornate,emotional,,,,B|D,B|D,,,TCSE_51-100.pdf
